fips,county,state,state_name,lat,lon,land_sq_mi,population,septic_dominant_class,septic_dominant_share_pct,septic_very_limited_pct
21087,Green County,KY,Kentucky,37.2781,-85.5379,285.963,11552,,,
54089,Summers County,WV,West Virginia,37.656,-80.8563,360.594,11544,,,
16087,Washington County,ID,Idaho,44.4482,-116.7978,1452.855,11539,,,
29139,Montgomery County,MO,Missouri,38.9352,-91.4654,535.047,11511,Very limited,98.5,98.5
38071,Ramsey County,ND,North Dakota,48.2662,-98.739,1185.367,11510,Very limited,85,85
30009,Carbon County,MT,Montana,45.2245,-109.0286,2047.889,11498,,,
27121,Pope County,MN,Minnesota,45.5896,-95.4467,674.559,11495,Very limited,80,80
21187,Owen County,KY,Kentucky,38.4994,-84.8416,350.487,11435,,,
17061,Greene County,IL,Illinois,39.3554,-90.3877,543.144,11417,Very limited,63.9,63.9
28111,Perry County,MS,Mississippi,31.1693,-88.9888,647.274,11406,Very limited,69.8,69.8
35051,Sierra County,NM,New Mexico,33.1195,-107.1882,4181.214,11389,,,
37005,Alleghany County,NC,North Carolina,36.4894,-81.1323,234.835,11379,Very limited,94.7,94.7
40107,Okfuskee County,OK,Oklahoma,35.4668,-96.3278,618.458,11364,Very limited,92.4,92.4
27033,Cottonwood County,MN,Minnesota,44.0106,-95.1832,639.973,11338,Very limited,90.4,90.4
51037,Charlotte County,VA,Virginia,37.009,-78.6586,475.296,11258,Somewhat limited,62.9,35.9
27165,Watonwan County,MN,Minnesota,43.9781,-94.6138,434.947,11204,Very limited,94.4,94.4
13093,Dooly County,GA,Georgia,32.152,-83.8072,392.631,11186,,,
37029,Camden County,NC,North Carolina,36.3423,-76.1625,240.326,11184,Very limited,72.2,72.2
21171,Monroe County,KY,Kentucky,36.7141,-85.7135,329.475,11163,Very limited,63.8,63.8
51081,Greensville County,VA,Virginia,36.6803,-77.5603,295.377,11150,Very limited,95.4,95.4
26097,Mackinac County,MI,Michigan,46.1679,-85.3038,1021.879,11144,Very limited,97.2,97.2
08105,Rio Grande County,CO,Colorado,37.4859,-106.4531,911.956,11132,,,
13043,Candler County,GA,Georgia,32.404,-82.0713,243.063,11130,,,
21153,Magoffin County,KY,Kentucky,37.699,-83.0697,308.443,11118,,,
21041,Carroll County,KY,Kentucky,38.6684,-85.124,128.7,11111,,,
01035,Conecuh County,AL,Alabama,31.4309,-86.9887,850.279,11109,Very limited,58.3,58.3
51103,Lancaster County,VA,Virginia,37.7048,-76.4127,133.325,11062,,,
28065,Jefferson Davis County,MS,Mississippi,31.5648,-89.8271,408.446,11059,Very limited,75.9,75.9
13005,Bacon County,GA,Georgia,31.5502,-82.4514,284.085,11045,,,
48475,Ward County,TX,Texas,31.5131,-103.1051,835.603,11038,Very limited,58.1,58.1
30083,Richland County,MT,Montana,47.7856,-104.5634,2084.556,11028,Very limited,85.1,85.1
46079,Lake County,SD,South Dakota,44.0284,-97.1232,562.905,11006,Very limited,93,93
13271,Telfair County,GA,Georgia,31.9136,-82.9311,437.307,11000,,,
17185,Wabash County,IL,Illinois,38.4458,-87.8392,223.323,10979,Very limited,87.5,87.5
54023,Grant County,WV,West Virginia,39.106,-79.1951,477.373,10971,,,
51119,Middlesex County,VA,Virginia,37.607,-76.5281,130.328,10949,Very limited,56,56
28135,Tallahatchie County,MS,Mississippi,33.9545,-90.1722,645.59,10921,Very limited,91.4,91.4
48159,Franklin County,TX,Texas,33.1758,-95.2191,284.403,10912,,,
40103,Noble County,OK,Oklahoma,36.3849,-97.2363,731.712,10896,Very limited,83.1,83.1
46019,Butte County,SD,South Dakota,44.8962,-103.5014,2250.01,10891,Very limited,86,86
13109,Evans County,GA,Georgia,32.1531,-81.8902,182.893,10869,,,
22091,St. Helena Parish,LA,Louisiana,30.8225,-90.7083,408.527,10857,Very limited,82.1,82.1
40149,Washita County,OK,Oklahoma,35.2899,-98.9923,1003.089,10839,Very limited,85.6,85.6
31037,Colfax County,NE,Nebraska,41.575,-97.0889,411.46,10826,Very limited,72.3,72.3
29223,Wayne County,MO,Missouri,37.1111,-90.4539,759.187,10820,Very limited,84.5,84.5
40127,Pushmataha County,OK,Oklahoma,34.3779,-95.4081,1395.589,10800,Very limited,84.9,84.9
38003,Barnes County,ND,North Dakota,46.9425,-98.0702,1491.559,10798,Very limited,55.2,55.2
19077,Guthrie County,IA,Iowa,41.6836,-94.5013,590.614,10774,Very limited,89,89
51183,Sussex County,VA,Virginia,36.9266,-77.2597,490.244,10753,Very limited,98.3,98.3
48077,Clay County,TX,Texas,33.7859,-98.2129,1088.76,10730,Very limited,95.4,95.4
29181,Ripley County,MO,Missouri,36.6502,-90.8748,629.516,10715,Very limited,83.1,83.1
31013,Box Butte County,NE,Nebraska,42.2104,-103.0818,1075.233,10703,Somewhat limited,50.6,42.5
27075,Lake County,MN,Minnesota,47.5171,-91.4117,2109.108,10698,Very limited,85.4,85.4
21159,Martin County,KY,Kentucky,37.7968,-82.5066,229.644,10696,,,
